id,Proposal_no,user_id,Moef_file_no,Proposal_Name,category,user_agency_name,area_applied,date_from_ua_to_nodal,State_Name,proposal_status,date_of_recomm,user_id1
444,FP/OR/MRL/8/2016,37296,NA,Rukunibori-Loharpadar block,Mining,GEOLOGICAL SURVEY OF INDIA,302,30-Jun-16,Orissa,Draft,,37296
445,FP/OR/MRL/9/2016,37296,NA,Anujurhi Block,Mining,GEOLOGICAL SURVEY OF INDIA,300,30-Jun-16,Orissa,Draft,,37296
446,FP/OR/MRL/10/2016,37296,NA,TALA CHHELIANAL AREA,Mining,GEOLOGICAL SURVEY OF INDIA,300,30-Jun-16,Orissa,Draft,,37296
447,FP/OR/MRL/11/2016,37296,NA,KUTINGA BLOCK,Mining,GEOLOGICAL SURVEY OF INDIA,25,30-Jun-16,Orissa,Draft,,37296
389,FP/OR/MRL/2/2016,14995,NA,Boneikela Block of Bamebari Iron & Manganese Mine,Mining,TATA STEEL LIMITED SUKINDA CHROMITE MINE,163.982,29-Apr-16,Orissa,Draft,,14995
354,FP/OR/MRL/21/2015,5736,NA,"Thakurani Iron ore Mines, Block-B, Dist-Keonjhar. M/s sarda Mines Pvt. Ltd.",Mining,SARDA MINES PRIVATE LIMITED,16.297,4-Jan-16,Orissa,Pending with UA,,5736
194,FP/OR/MRL/1/2015,1555,NA,Rayagada,Mining,ODISHA MINING CORPORATION LTD,215.79,7-Dec-15,Orissa,Draft,,1555
350,FP/OR/MRL/18/2015,1401,NA,Balabhadra North Extension Coal Block,Mining,CENTRAL MINE PLANNING AND DESIGN INSTITUTE LIMITED,0.52,16-Nov-15,Orissa,Draft,,1401
348,FP/OR/MRL/17/2015,1401,NA,"Saradhapur Coal Block<div style=""display:none"">quetiapin ritalin <a href=""http://markenavntablet.site/quetiapin-m?¶rke-navn.asp"">quetiapin und valdoxan</a> quetiapin wirkstoff</div>",Mining,CENTRAL MINE PLANNING AND DESIGN INSTITUTE LIMITED,0.3,13-Nov-15,Orissa,Draft,,1401
337,FP/OR/MRL/14/2015,11554,NA,"Telkoi<div style=""display:none"">quetiapin ritalin <a href=""http://markenavntablet.site/quetiapin-m?¶rke-navn.asp"">quetiapin und valdoxan</a> quetiapin wirkstoff</div>",Mining,EXECUTIVE ENGINEER,1,8-Nov-15,Orissa,Draft,,11554
305,FP/OR/MRL/10/2015,10024,NA,CBM IB-Valley Block(IB-CBM-2008/IV),Mining,Essar Oil Limited,1.9012,24-Aug-15,Orissa,Pending with UA,,10024
307,FP/OR/MRL/11/2015,1401,NA,Palasbani West Coal Block,Mining,CENTRAL MINE PLANNING AND DESIGN INSTITUTE LIMITED,1229,18-Aug-15,Orissa,Draft,,1401
216,FP/OR/MRL/2/2015,6651,NA,"Granted ML area in favour of M/s Industrial Development Corporation Of Odisha Ltd.,over 505.048ha. for chromite in Villages Tangarpada, Arasahi, Nokapali, Oringa, Lokanathpur, Mathakaragola and Maulbhanja RF in Dhenkanal Dist., Odisha",Mining,INDUSTRIAL DEVELOPMENT CORPORATION OF ODISHA LTD,18.639,25-Mar-15,Orissa,Pending With UA,,6651
147,FP/OR/MRL/19/2014,1555,8-18/2015-FC,"Proposal for according permission for use of 9.696 hectare of forest land within total Mining lease area of 971.245 ha. in Kaliapani Chromite Mining lease located in Sukinda Forest Range of Cuttack Forest Division for undertaking exploratory drilling of 96 no. of boreholes of 4‚Äù dia (96 boreholes @ 0.02 ha each totalling 1.92 ha and 7.776 ha. for construction of road) by M/s Odisha Mining Corporation Ltd.,(Sukinda)",Mining,ODISHA MINING CORPORATION LTD,751.34,27-Jan-15,Orissa,IN-PRINCIPLE,2-Jun-15,1555
146,FP/OR/MRL/18/2014,1555,8-45/2016-FC,KAMAKHYANAGAR,Mining,ODISHA MINING CORPORATION LTD,176.69,5-Jan-15,Orissa,IN-PRINCIPLE,29-Sep-16,1555
169,FP/OR/MRL/28/2014,1555,NA,Rayagada,Mining,ODISHA MINING CORPORATION LTD,454.79,31-Dec-14,Orissa,Pending with UA,,1555
157,FP/OR/MRL/24/2014,1555,NA,Hatadihi,Mining,ODISHA MINING CORPORATION LTD,295.389,30-Dec-14,Orissa,Pending with UA,,1555
162,FP/OR/MRL/26/2014,2382,NA,CBM Block-TL-CBM-2008/IV,Mining,ESSAR OIL LIMITED,3.026,26-Dec-14,Orissa,Pending With UA,,2382
161,FP/OR/MRL/25/2014,2382,NA,CBM Block-IB-CBM-2008/IV,Mining,ESSAR OIL LIMITED,2.875,26-Dec-14,Orissa,Pending With UA,,2382
155,FP/OR/MRL/22/2014,1555,5-ORB246/2015-BHU,Sukinda,Mining,ODISHA MINING CORPORATION LTD,23.243,15-Dec-14,Orissa,IN-PRINCIPLE,9-Apr-15,1555
154,FP/OR/MRL/21/2014,1555,NA,Hatadihi,Mining,ODISHA MINING CORPORATION LTD,207.36,15-Dec-14,Orissa,Pending with UA,,1555
153,FP/OR/MRL/20/2014,1555,8-16/2015-FC,"Proposal for according permission for use of 14.642 hectares of forest land within total Mining lease area of 936.22 ha. (Forest land 700.12 ha + non-forest land 236.10 ha.) in Kalarangi Chromite Mining Lease located in villages like Kalarangiatta, Baragaji, Ransol and Mahulkhal in Sukinda Forest Range of Cuttack Forest Division in Jajpur district, Odisha for undertaking exploratory drilling of 214 no. of boreholes of 4‚Äù dia (134 boreholes over 2.68 ha. forest land and 80 no. of boreholes in non-forest land) and 11.962 ha. for construction of road by M/s Odisha Mining Corporation Ltd.,(Sukinda)",Mining,ODISHA MINING CORPORATION LTD,700.12,15-Dec-14,Orissa,IN-PRINCIPLE,24-Apr-15,1555
131,FP/OR/MRL/15/2014,1555,8-29/2017-FC,"Kankadahada<div style=""display:none"">quetiapin ritalin <a href=""http://markenavntablet.site/quetiapin-m?¶rke-navn.asp"">markenavntablet.site</a> quetiapin wirkstoff</div>",Mining,ODISHA MINING CORPORATION LTD,504.3,10-Dec-14,Orissa,IN-PRINCIPLE,21-Jul-16,1555
